Project Date (IST),URL,Test Device,Performance
2024-02-26 20:11:04,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,mobile,89.0
2024-02-26 20:11:49,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,desktop,100.0
2024-02-26 20:12:08,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,mobile,85.0
2024-02-26 20:12:26,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,desktop,99.0
2024-02-26 20:12:44,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,mobile,83.0
2024-02-26 20:13:07,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,desktop,98.0
2024-02-26 20:13:30,https://www.joinelevatenow.com/nasik-landing-page,mobile,96.0
2024-02-26 20:13:45,https://www.joinelevatenow.com/nasik-landing-page,desktop,93.0
2024-02-26 20:14:03,https://www.joinelevatenow.com/eligibility-ab,mobile,95.0
2024-02-26 20:14:19,https://www.joinelevatenow.com/eligibility-ab,desktop,98.0
2024-02-26 20:14:35,https://www.joinelevatenow.com/en-eligibility,mobile,87.0
2024-02-26 20:14:50,https://www.joinelevatenow.com/en-eligibility,desktop,91.0
2024-02-26 20:21:05,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,mobile,99.0
2024-02-26 20:21:21,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,desktop,100.0
2024-02-26 20:21:42,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,mobile,57.99999999999999
2024-02-26 20:22:02,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,desktop,100.0
2024-02-26 20:22:23,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,mobile,89.0
2024-02-26 20:22:46,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,desktop,98.0
2024-02-26 20:23:14,https://www.joinelevatenow.com/nasik-landing-page,mobile,93.0
2024-02-26 20:23:29,https://www.joinelevatenow.com/nasik-landing-page,desktop,99.0
2024-02-26 20:23:45,https://www.joinelevatenow.com/eligibility-ab,mobile,96.0
2024-02-26 20:24:01,https://www.joinelevatenow.com/eligibility-ab,desktop,99.0
2024-02-26 20:24:17,https://www.joinelevatenow.com/en-eligibility,mobile,89.0
2024-02-26 20:24:34,https://www.joinelevatenow.com/en-eligibility,desktop,96.0
2024-02-26 20:31:00,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,mobile,69.0
2024-02-26 20:31:23,https://home.joinelevatenow.co.in/pp/postpartum/postpartum_optimized.html,desktop,100.0
2024-02-26 20:31:42,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,mobile,96.0
2024-02-26 20:31:59,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,desktop,99.0
2024-02-26 20:32:22,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,mobile,87.0
2024-02-26 20:32:44,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,desktop,98.0
2024-02-26 20:33:10,https://www.joinelevatenow.com/nasik-landing-page,mobile,94.0
2024-02-26 20:33:25,https://www.joinelevatenow.com/nasik-landing-page,desktop,92.0
2024-02-26 20:33:41,https://www.joinelevatenow.com/eligibility-ab,mobile,88.0
2024-02-26 20:33:55,https://www.joinelevatenow.com/eligibility-ab,desktop,98.0
2024-02-26 20:34:11,https://www.joinelevatenow.com/en-eligibility,mobile,91.0
2024-02-26 20:34:26,https://www.joinelevatenow.com/en-eligibility,desktop,98.0
2024-02-27 09:54:23,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,mobile,98.0
2024-02-27 09:54:40,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,desktop,100.0
2024-02-27 09:54:59,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,mobile,86.0
2024-02-27 09:55:25,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,desktop,99.0
2024-02-27 09:55:49,https://www.joinelevatenow.com/nasik-landing-page,mobile,87.0
2024-02-27 09:56:08,https://www.joinelevatenow.com/nasik-landing-page,desktop,98.0
2024-02-27 09:56:28,https://www.joinelevatenow.com/eligibility-ab,mobile,96.0
2024-02-27 09:56:46,https://www.joinelevatenow.com/eligibility-ab,desktop,93.0
2024-02-27 09:57:06,https://www.joinelevatenow.com/en-eligibility,mobile,86.0
2024-02-27 09:57:23,https://www.joinelevatenow.com/en-eligibility,desktop,92.0
2024-02-27 11:14:12,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,mobile,85.0
2024-02-27 11:14:28,https://www.joinelevatenow.com/pp/postpartumform/optimized_sunny/,desktop,99.0
2024-02-27 11:14:47,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,mobile,89.0
2024-02-27 11:15:08,https://www.joinelevatenow.com/pp/easy-weight-loss/men/optimized_sunny/,desktop,98.0
2024-02-27 11:15:33,https://www.joinelevatenow.com/nasik-landing-page,mobile,90.0
2024-02-27 11:15:51,https://www.joinelevatenow.com/nasik-landing-page,desktop,92.0
2024-02-27 11:16:10,https://www.joinelevatenow.com/eligibility-ab,mobile,90.0
2024-02-27 11:16:26,https://www.joinelevatenow.com/eligibility-ab,desktop,99.0
2024-02-27 11:16:41,https://www.joinelevatenow.com/en-eligibility,mobile,84.0
2024-02-27 11:16:56,https://www.joinelevatenow.com/en-eligibility,desktop,99.0
